Table 1
State,Gender,Year,Top Name,Occurrences
CA,F,2008,Isabella,2787
CA,F,2009,Isabella,3154
CA,F,2010,Isabella,3361
CA,F,2011,Sophia,3550
CA,F,2012,Sophia,3617
CA,M,1910,John,237
CA,M,1911,John,214
CA,M,1912,John,501
CA,M,1913,John,614
CA,M,1914,John,769
CA,M,1915,John,1034
CA,M,1916,John,1085
CA,M,1917,John,1066
CA,M,1918,Robert,1270
CA,M,1919,Robert,1346
CA,M,1920,Robert,1822
CA,M,1921,Robert,1874
CA,M,1922,Robert,2117
CA,M,1923,Robert,2257
CA,M,1924,Robert,2583
CA,M,1925,Robert,2510
CA,M,1926,Robert,2487
CA,M,1927,Robert,2487
CA,M,1928,Robert,2386
CA,M,1929,Robert,2424
CA,M,1930,Robert,2459
CA,M,1931,Robert,2414
CA,M,1932,Robert,2304
CA,M,1933,Robert,2137
CA,M,1934,Robert,2198
CA,M,1935,Robert,2261
CA,M,1936,Robert,2548
CA,M,1937,Robert,2881
CA,M,1938,Robert,2927
CA,M,1939,Robert,2850
CA,M,1940,Robert,3123
CA,M,1941,Robert,3374
CA,M,1942,Robert,4013
CA,M,1943,Robert,4659
CA,M,1944,Robert,4631
CA,M,1945,Robert,4974
CA,M,1946,Robert,5515
CA,M,1947,Robert,6179
CA,M,1948,Robert,5879
CA,M,1949,Robert,5953
CA,M,1950,Robert,6027
CA,M,1951,Michael,6187
CA,M,1952,Michael,7049
CA,M,1953,Michael,7848
CA,M,1954,Michael,8071
CA,M,1955,Michael,7855
CA,M,1956,Michael,8265
CA,M,1957,Michael,8230
CA,M,1958,Michael,7629
CA,M,1959,David,7623
CA,M,1960,David,7923
CA,M,1961,David,8116
CA,M,1962,David,7941
CA,M,1963,Michael,7820
CA,M,1964,Michael,7984
CA,M,1965,Michael,7837
CA,M,1966,Michael,7686
CA,M,1967,Michael,8134
CA,M,1968,Michael,8077
CA,M,1969,Michael,8249
CA,M,1970,Michael,8199
CA,M,1971,Michael,6826
CA,M,1972,Michael,6342
CA,M,1973,Michael,5882
CA,M,1974,Michael,6061
CA,M,1975,Michael,6214
CA,M,1976,Michael,6188
CA,M,1977,Michael,6320
CA,M,1978,Michael,6491
CA,M,1979,Michael,6581
CA,M,1980,Michael,6903
CA,M,1981,Michael,7147
CA,M,1982,Michael,7160
CA,M,1983,Michael,7392
CA,M,1984,Michael,7475
CA,M,1985,Michael,7212
CA,M,1986,Michael,7259
CA,M,1987,Michael,7449
CA,M,1988,Michael,7754
CA,M,1989,Michael,7857
CA,M,1990,Michael,8237
CA,M,1991,Michael,7572
CA,M,1992,Michael,6634
CA,M,1993,Michael,5847
CA,M,1994,Daniel,5112
CA,M,1995,Daniel,5003
CA,M,1996,Daniel,4704
CA,M,1997,Daniel,4452
CA,M,1998,Daniel,4314
CA,M,1999,Daniel,4349
CA,M,2000,Daniel,4338
CA,M,2001,Daniel,4164
CA,M,2002,Daniel,4128
CA,M,2003,Daniel,4031
CA,M,2004,Daniel,4166
CA,M,2005,Daniel,3911
CA,M,2006,Daniel,3825
CA,M,2007,Daniel,3863
CA,M,2008,Daniel,3747
CA,M,2009,Daniel,3390
CA,M,2010,Jacob,3344
CA,M,2011,Jacob,3157
